S,MRT,±,min,max,MRT Class 1,±,min,max,MRT Class 2,±,min,max,Thr Cloudlet Class 1,±,min,max,Thr Cloudlet Class 2,±,min,max,Thr Cloud Class 1,±,min,max,Thr Cloud Class 2,±,min,max,MRT Cloudlet Class 1,±,min,max,MRT Cloudlet Class 2,±,min,max,MRT Cloud Class 1,±,min,max,MRT Cloud Class 2,±,min,max,MP Cloudlet Class 1,±,min,max,MP Cloudlet Class 2,±,min,max,MP Cloud Class 1,±,min,max,MP Cloud Class 2,±,min,max,% Interrupted,±,min,max,MRT Interrupted,±,min,max
10,3.450370,0.001238,3.449132,3.451608,2.260528,0.001023,2.259504,2.261551,4.592716,0.002145,4.590572,4.594861,5.867737,0.005883,5.861854,5.873621,0.056754,0.000375,0.056379,0.057129,0.129908,0.000806,0.129102,0.130714,6.190119,0.005852,6.184267,6.195970,2.221931,0.000888,2.221043,2.222819,3.693732,0.017451,3.676280,3.711183,4.006103,0.011626,3.994477,4.017729,4.601067,0.002160,4.598907,4.603228,13.037679,0.013845,13.023834,13.051524,0.208993,0.001142,0.207851,0.210135,0.520379,0.003496,0.516883,0.523876,28.482704,0.032669,28.450035,28.515373,0.068656,0.000266,0.068390,0.068923,5.741419,0.013477,5.727942,5.754896
11,3.462662,0.001083,3.461579,3.463744,2.260525,0.001023,2.259502,2.261549,4.616805,0.001807,4.614998,4.618611,5.867059,0.007150,5.859909,5.874208,0.100312,0.000543,0.099769,0.100855,0.129889,0.000811,0.129078,0.130700,6.145784,0.007181,6.138603,6.152965,2.221929,0.000888,2.221041,2.222817,3.706315,0.013787,3.692528,3.720102,4.006101,0.011624,3.994477,4.017724,4.631742,0.001839,4.629903,4.633581,13.036176,0.016526,13.019650,13.052702,0.371314,0.001703,0.369611,0.373017,0.520335,0.003513,0.516822,0.523848,28.466221,0.035743,28.430478,28.501964,0.105340,0.000348,0.104992,0.105688,5.789627,0.012884,5.776743,5.802511
12,3.476793,0.001608,3.475185,3.478400,2.260528,0.001023,2.259505,2.261551,4.644461,0.002882,4.641578,4.647343,5.866901,0.007431,5.859470,5.874332,0.164847,0.000760,0.164087,0.165607,0.129886,0.000812,0.129073,0.130698,6.081079,0.007384,6.073695,6.088463,2.221932,0.000888,2.221044,2.222820,3.710997,0.011730,3.699267,3.722727,4.006089,0.011628,3.994461,4.017717,4.669768,0.002871,4.666896,4.672639,13.035847,0.017126,13.018721,13.052972,0.611492,0.002442,0.609050,0.613934,0.520325,0.003517,0.516808,0.523843,28.393314,0.031093,28.362221,28.424408,0.148834,0.000431,0.148403,0.149265,5.840613,0.012627,5.827986,5.853240
13,3.488986,0.001144,3.487842,3.490129,2.260550,0.001019,2.259531,2.261569,4.668305,0.002006,4.666299,4.670311,5.867040,0.007177,5.859864,5.874217,0.254551,0.001030,0.253521,0.255581,0.129892,0.000810,0.129081,0.130702,5.991751,0.006561,5.985190,5.998311,2.221955,0.000886,2.221068,2.222841,3.701178,0.010654,3.690524,3.711831,4.006069,0.011629,3.994440,4.017698,4.709394,0.002068,4.707326,4.711462,13.036204,0.016479,13.019725,13.052683,0.942131,0.003336,0.938795,0.945467,0.520338,0.003512,0.516826,0.523850,28.218873,0.035236,28.183637,28.254109,0.195714,0.000509,0.195206,0.196223,5.903348,0.012573,5.890775,5.915921
14,3.500397,0.001429,3.498967,3.501826,2.260638,0.001022,2.259616,2.261659,4.690746,0.002511,4.688235,4.693258,5.866917,0.007400,5.859517,5.874318,0.370324,0.001315,0.369008,0.371639,0.129886,0.000812,0.129074,0.130699,5.875429,0.007367,5.868062,5.882796,2.222045,0.000903,2.221141,2.222948,3.699469,0.009506,3.689962,3.708975,4.006071,0.011627,3.994444,4.017699,4.753060,0.002493,4.750567,4.755552,13.036144,0.016584,13.019560,13.052727,1.370517,0.004352,1.366165,1.374868,0.520326,0.003517,0.516809,0.523843,27.923440,0.033273,27.890168,27.956713,0.242097,0.000535,0.241562,0.242632,6.016091,0.108228,5.907863,6.124319
15,3.506846,0.001396,3.505450,3.508243,2.260607,0.001017,2.259590,2.261625,4.703396,0.002532,4.700864,4.705929,5.867661,0.006030,5.861631,5.873690,0.512087,0.001634,0.510452,0.513721,0.129906,0.000807,0.129100,0.130713,5.734526,0.005614,5.728912,5.740141,2.222014,0.000894,2.221120,2.222908,3.701656,0.008917,3.692739,3.710573,4.006071,0.011627,3.994444,4.017698,4.792709,0.002717,4.789992,4.795426,13.037757,0.013703,13.024055,13.051460,1.896685,0.005542,1.891143,1.902228,0.520373,0.003498,0.516875,0.523871,27.486310,0.034303,27.452007,27.520613,0.283811,0.000593,0.283218,0.284404,6.075063,0.108950,5.966113,6.184013
16,3.508998,0.001316,3.507682,3.510314,2.260594,0.001017,2.259577,2.261610,4.707600,0.002315,4.705285,4.709915,5.867050,0.007150,5.859900,5.874200,0.679143,0.001974,0.677169,0.681117,0.129889,0.000811,0.129078,0.130700,5.566892,0.006349,5.560544,5.573241,2.221999,0.000890,2.221109,2.222889,3.699446,0.008483,3.690963,3.707929,4.006108,0.011630,3.994478,4.017739,4.830295,0.002578,4.827717,4.832873,13.036338,0.016230,13.020108,13.052569,2.514304,0.006809,2.507496,2.521113,0.520335,0.003513,0.516822,0.523848,26.892133,0.036311,26.855822,26.928444,0.317466,0.000639,0.316827,0.318105,6.191709,0.231282,5.960427,6.422992
17,3.506215,0.001195,3.505020,3.507410,2.260635,0.001021,2.259613,2.261656,4.702166,0.002054,4.700112,4.704220,5.866749,0.007733,5.859016,5.874482,0.867088,0.002394,0.864694,0.869483,0.129881,0.000814,0.129068,0.130695,5.378477,0.006868,5.371609,5.385344,2.222041,0.000903,2.221138,2.222944,3.701708,0.008400,3.693307,3.710108,4.006085,0.011624,3.994461,4.017709,4.862980,0.002374,4.860607,4.865354,13.035735,0.017328,13.018408,13.053063,3.212144,0.008110,3.204034,3.220254,0.520315,0.003521,0.516794,0.523837,26.157464,0.037433,26.120031,26.194897,0.341920,0.000437,0.341484,0.342357,6.127426,0.014876,6.112550,6.142303
18,3.498104,0.001332,3.496773,3.499436,2.260609,0.001018,2.259592,2.261627,4.686253,0.002276,4.683977,4.688529,5.866838,0.007554,5.859285,5.874392,1.073841,0.002779,1.071062,1.076621,0.129884,0.000813,0.129071,0.130697,5.171892,0.006262,5.165630,5.178154,2.222016,0.000894,2.221121,2.222910,3.698284,0.008180,3.690104,3.706463,4.006068,0.011626,3.994442,4.017694,4.890498,0.002155,4.888343,4.892652,13.035893,0.017041,13.018852,13.052934,3.974669,0.009528,3.965141,3.984197,0.520321,0.003519,0.516802,0.523841,25.291865,0.030366,25.261499,25.322231,0.356238,0.000458,0.355780,0.356695,6.167014,0.030110,6.136904,6.197124
19,3.485246,0.001189,3.484057,3.486436,2.260593,0.001017,2.259576,2.261610,4.661042,0.001963,4.659079,4.663005,5.866620,0.007965,5.858655,5.874584,1.292303,0.003206,1.289098,1.295509,0.129878,0.000815,0.129063,0.130693,4.953249,0.006209,4.947040,4.959458,2.221998,0.000891,2.221107,2.222889,3.701898,0.008092,3.693806,3.709991,4.006092,0.011627,3.994466,4.017719,4.910359,0.002334,4.908025,4.912693,13.035360,0.018017,13.017343,13.053376,4.788111,0.010924,4.777187,4.799035,0.520307,0.003525,0.516783,0.523832,24.323853,0.034350,24.289504,24.358203,0.361720,0.000434,0.361285,0.362154,6.190167,0.034650,6.155517,6.224817
20,3.469175,0.001618,3.467558,3.470793,2.260527,0.001023,2.259504,2.261550,4.629548,0.002877,4.626670,4.632425,5.866338,0.008505,5.857833,5.874843,1.522015,0.003451,1.518564,1.525466,0.129869,0.000818,0.129052,0.130687,4.723273,0.006418,4.716855,4.729691,2.221930,0.000888,2.221042,2.222818,3.703159,0.003498,3.699661,3.706657,4.006110,0.011622,3.994488,4.017732,4.927540,0.002842,4.924697,4.930382,13.034597,0.019425,13.015172,13.054022,5.636796,0.012287,5.624509,5.649084,0.520289,0.003533,0.516756,0.523822,23.271232,0.029791,23.241440,23.301023,0.359566,0.000405,0.359161,0.359972,6.192991,0.039196,6.153795,6.232188
20,3.469175,0.001618,3.467558,3.470793,2.260527,0.001023,2.259504,2.261550,4.629548,0.002877,4.626670,4.632425,5.866338,0.008505,5.857833,5.874843,1.522015,0.003451,1.518564,1.525466,0.129869,0.000818,0.129052,0.130687,4.723273,0.006418,4.716855,4.729691,2.221930,0.000888,2.221042,2.222818,3.703159,0.003498,3.699661,3.706657,4.006110,0.011622,3.994488,4.017732,4.927540,0.002842,4.924697,4.930382,13.034597,0.019425,13.015172,13.054022,5.636796,0.012287,5.624509,5.649084,0.520289,0.003533,0.516756,0.523822,23.271232,0.029791,23.241440,23.301023,0.359566,0.000405,0.359161,0.359972,6.192991,0.039196,6.153795,6.232188
